x+y	0 (IEEE-754 round-to-nearest-even) # http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#mathematical-functions-appendix
x*y	0 (IEEE-754 round-to-nearest-even)
x/y	0 (IEEE-754 round-to-nearest-even)
1/x	0 (IEEE-754 round-to-nearest-even)
sqrt(x)	    0 (IEEE-754 round-to-nearest-even)
rsqrt(x)	1 (full range)
cbrt(x)	1 (full range)
rcbrt(x)  1 (full range)
hypot(x,y)  2 (full range)
rhypot(x,y) 1 (full range)
norm3d(x,y,z) 2 (full range)
rnorm3d(x,y,z)	1 (full range)
norm4d(x,y,z,t)	2 (full range)
rnorm4d(x,y,z,t)  1 (full range)
norm(dim,arr)	  3 (full range)
rnorm(dim,arr)	  2 (full range)
exp(x)		  1 (full range)
exp2(x)		  1 (full range)
exp10(x)	  1 (full range)
expm1(x)	  1 (full range)
log(x)		  1 (full range)
log2(x)		  1 (full range)
log10(x)	  1 (full range)
log1p(x)	  1 (full range)
sin(x)		  1 (full range)
cos(x)		  1 (full range)
tan(x)		  2 (full range)
sincos(x,sptr,cptr) 1 (full range)
sinpi(x)	    1 (full range)
cospi(x)	    1 (full range)
sincospi(x,sptr,cptr) 1 (full range)
asin(x)		      2 (full range)
acos(x)		      1 (full range)
atan(x)		      2 (full range)
atan2(y,x)	      2 (full range)
sinh(x)		      1 (full range)
cosh(x)		      1 (full range)
tanh(x)		      1 (full range)
asinh(x)	      2 (full range)
acosh(x)	      2 (full range)
atanh(x)	      2 (full range)
pow(x,y)	      2 (full range)
erf(x)		      2 (full range)
erfc(x)		      4 (full range)
erfinv(x)	      5 (full range)
erfcinv(x)	      6 (full range)
erfcx(x)	      3 (full range)
normcdf(x)	      5 (full range)
normcdfinv(x)	      7 (full range)
lgamma(x)	      4 (outside interval -11.0001 ... -2.2637; larger inside)
tgamma(x)	      8 (full range)
fma(x,y,z)	      0 (IEEE-754 round-to-nearest-even)
frexp(x,exp)	      0 (full range)
ldexp(x,exp)	      0 (full range)
scalbn(x,n)	      0 (full range)
scalbln(x,l)	      0 (full range)
logb(x)		      0 (full range)
ilogb(x)	      0 (full range)
j0(x)	7 for |x| < 8, otherwise, the maximum absolute error is 5 x 10-12
j1(x)	7 for |x| < 8, otherwise, the maximum absolute error is 5 x 10-12
jn(n,x)	   For n = 128, the maximum absolute error is 5 x 10-12
y0(x)	7 for |x| < 8, otherwise, the maximum absolute error is 5 x 10-12
y1(x)	7 for |x| < 8, otherwise, the maximum absolute error is 5 x 10-12
yn(n,x)	For |x| > 1.5n, the maximum absolute error is 5 x 10-12
cyl_bessel_i0(x)    6 (full range)
cyl_bessel_i1(x)    6 (full range)
fmod(x,y)	    0 (full range)
remainder(x,y)	    0 (full range)
remquo(x,y,iptr)    0 (full range)
mod(x,iptr)	    0 (full range)
fdim(x,y)	    0 (full range)
trunc(x)	    0 (full range)
round(x)	    0 (full range)
rint(x)		    0 (full range)
nearbyint(x)	    0 (full range)
ceil(x)		    0 (full range)
floor(x)	    0 (full range)
lrint(x)	    0 (full range)
lround(x)	    0 (full range)
llrint(x)	    0 (full range)
llround(x)	    0 (full range)
